MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
D002318	Cardiovascular Diseases	I51.6	Cardiovascular disease, unspecified
D002349	Carpal Tunnel Syndrome	G56.0	Carpal tunnel syndrome
D002357	Cartilage Diseases	M91-M94.9	Chondropathies
D002357	Cartilage Diseases	M94.9	Disorder of cartilage, unspecified
D002372	Cat-Scratch Disease	A28.1	Cat-scratch disease
D002422	Causalgia	G56.4	Causalgia
D002446	Celiac Disease	K90.0	Coeliac disease
D002481	Cellulitis	L03	Cellulitis
D002481	Cellulitis	L03.9	Cellulitis, unspecified
D002493	Central Nervous System Diseases	G96.9	Disorder of central nervous system, unspecified
D002544	Cerebral Infarction	I63	Cerebral infarction
D002544	Cerebral Infarction	I63.9	Cerebral infarction, unspecified
D002546	Ischemic Attack, Transient	G45.9	Transient cerebral ischaemic attack, unspecified
D002549	Diffuse Cerebral Sclerosis of Schilder	G37.0	Diffuse sclerosis
D002561	Cerebrovascular Disorders	I67.9	Cerebrovascular disease, unspecified
D002561	Cerebrovascular Disorders	I60-I69.9	Cerebrovascular diseases
D019547	Neck Pain	M54.2	Cervicalgia
D002575	Uterine Cervicitis	N72	Inflammatory disease of cervix uteri
D002578	Uterine Cervical Dysplasia	N87	Dysplasia of cervix uteri
D002578	Uterine Cervical Dysplasia	N87.9	Dysplasia of cervix uteri, unspecified
D002581	Uterine Cervical Incompetence	N88.3	Incompetence of cervix uteri
D002585	Cesarean Section	O82.9	Delivery by caesarean section, unspecified
D002590	Cestode Infections	B71.9	Cestode infection, unspecified
D017043	Chalazion	H00.1	Chalazion
D002602	Chancroid	A57	Chancroid
D002637	Chest Pain	R07.4	Chest pain, unspecified
D002644	Chickenpox	B01	Varicella [chickenpox]
D065632	Chikungunya Fever	A92.0	Chikungunya virus disease
D002647	Chilblains	T69.1	Chilblains
D002690	Chlamydia Infections	A74.9	Chlamydial infection, unspecified
D002754	Choanal Atresia	Q30.0	Choanal atresia
D002761	Cholangitis	K83.0	Cholangitis
D002764	Cholecystitis	K81	Cholecystitis
D002764	Cholecystitis	K81.9	Cholecystitis, unspecified
D015529	Choledochal Cyst	Q44.4	Choledochal cyst
D002769	Cholelithiasis	K80	Cholelithiasis
D002771	Cholera	A00	Cholera
D002771	Cholera	A00.9	Cholera, unspecified
D002779	Cholestasis	K83.1	Obstruction of bile duct
D002806	Chondrodysplasia Punctata	Q77.3	Chondrodysplasia punctata
D046789	Chondromalacia Patellae	M22.4	Chondromalacia patellae
D002825	Chorioretinitis	H30	Chorioretinal inflammation
D002825	Chorioretinitis	H30.9	Chorioretinal inflammation, unspecified
D015862	Choroid Diseases	H31.9	Disorder of choroid, unspecified
D002836	Hemophilia B	D67	Hereditary factor IX deficiency
D002862	Chromoblastomycosis	B43.9	Chromomycosis, unspecified
D025063	Chromosome Disorders	Q99.9	Chromosomal abnormality, unspecified
D029481	Bronchitis, Chronic	J42	Unspecified chronic bronchitis
D015267	Churg-Strauss Syndrome	M30.1	Polyarteritis with lung involvement [Churg-Strauss]
D036841	Ciguatera Poisoning	T61.0	Ciguatera fish poisoning
D002971	Cleft Lip	Q36	Cleft lip
D002972	Cleft Palate	Q35	Cleft palate
D002972	Cleft Palate	Q35.9	Cleft palate, unspecified
D003003	Clonorchiasis	B66.1	Clonorchiasis
D003025	Clubfoot	Q66.0	Talipes equinovarus
D003027	Cluster Headache	G44.0	Cluster headache syndrome
D003047	Coccidioidomycosis	B38	Coccidioidomycosis
D003047	Coccidioidomycosis	B38.9	Coccidioidomycosis, unspecified
D003093	Colitis, Ulcerative	K51	Ulcerative colitis
D003093	Colitis, Ulcerative	K51.9	Ulcerative colitis, unspecified
D003111	Colonic Polyps	K63.5	Polyp of colon
D003117	Color Vision Defects	H53.5	Colour vision deficiencies
D003121	Colorado Tick Fever	A93.2	Colorado tick fever
D003128	Coma	R40.2	Coma, unspecified
D003139	Common Cold	J00	Acute nasopharyngitis [common cold]
D017074	Common Variable Immunodeficiency	D83	Common variable immunodeficiency
D017074	Common Variable Immunodeficiency	D83.9	Common variable immunodeficiency, unspecified
D003218	Condylomata Acuminata	A63.0	Anogenital (venereal) warts
C531735	Congenital macroglossia	Q38.2	Macroglossia
D003229	Conjunctival Diseases	H11.9	Disorder of conjunctiva, unspecified
D003229	Conjunctival Diseases	H10-H13.9	Disorders of conjunctiva
D003231	Conjunctivitis	H10	Conjunctivitis
D003231	Conjunctivitis	H10.9	Conjunctivitis, unspecified
D003234	Conjunctivitis, Bacterial	H10.0	Mucopurulent conjunctivitis
D003235	Conjunctivitis, Inclusion	A74.0	Chlamydial conjunctivitis
D003236	Conjunctivitis, Viral	B30	Viral conjunctivitis
D003236	Conjunctivitis, Viral	B30.9	Viral conjunctivitis, unspecified
D003248	Constipation	K59.0	Constipation
D003286	Contracture	M62.4	Contracture of muscle
D003294	Seizures, Febrile	R56.0	Febrile convulsions
D003310	Cor Triatriatum	Q24.2	Cor triatriatum
D003316	Corneal Diseases	H18.9	Disorder of cornea, unspecified
D003317	Corneal Dystrophies, Hereditary	H18.5	Hereditary corneal dystrophies
D003320	Corneal Ulcer	H16.0	Corneal ulcer
D003323	Coronary Aneurysm	I25.4	Coronary artery aneurysm
D003330	Coronary Vessel Anomalies	Q24.5	Malformation of coronary vessels
D003371	Cough	R05	Cough
D003389	Cranial Nerve Diseases	G52.9	Cranial nerve disorder, unspecified
D003394	Craniofacial Dysostosis	Q75.1	Craniofacial dysostosis
D003398	Craniosynostoses	Q75.0	Craniosynostosis
D003410	Cri-du-Chat Syndrome	Q93.4	Deletion of short arm of chromosome 5
D003414	Crigler-Najjar Syndrome	E80.5	Crigler-Najjar syndrome
D003424	Crohn Disease	K50	Crohn's disease [regional enteritis]
D003424	Crohn Disease	K50.9	Crohn's disease, unspecified
D003440	Croup	J05.0	Acute obstructive laryngitis [croup]
D003449	Cryoglobulinemia	D89.1	Cryoglobulinaemia
D003453	Cryptococcosis	B45	Cryptococcosis
D003453	Cryptococcosis	B45.9	Cryptococcosis, unspecified
D003456	Cryptorchidism	Q53	Undescended testicle
D003456	Cryptorchidism	Q53.9	Undescended testicle, unspecified
D003457	Cryptosporidiosis	A07.2	Cryptosporidiosis
D003480	Cushing Syndrome	E24	Cushing's syndrome
D003480	Cushing Syndrome	E24.9	Cushing's syndrome, unspecified
D003490	Cyanosis	R23.0	Cyanosis
D003527	Cyclothymic Disorder	F34.0	Cyclothymia
D003550	Cystic Fibrosis	E84	Cystic fibrosis
D003550	Cystic Fibrosis	E84.9	Cystic fibrosis, unspecified
D003551	Cysticercosis	B69	Cysticercosis
D003551	Cysticercosis	B69.9	Cysticercosis, unspecified
D003556	Cystitis	N30	Cystitis
D003556	Cystitis	N30.9	Cystitis, unspecified
D003586	Cytomegalovirus Infections	B25	Cytomegaloviral disease
D003586	Cytomegalovirus Infections	B25.9	Cytomegaloviral disease, unspecified
D003616	Dandy-Walker Syndrome	Q03.1	Atresia of foramina of Magendie and Luschka
D003665	Decompression Sickness	T70.3	Effects of caisson disease [decompression sickness]
D003668	Pressure Ulcer	L89	Decubitus ulcer
D003680	Deglutition Disorders	R13	Dysphagia
D003693	Delirium	F05.9	Delirium, unspecified
D036861	Delivery, Obstetric	O80-O84.9	Delivery
D015161	Dementia, Multi-Infarct	F01.1	Multi-infarct dementia
D015140	Dementia, Vascular	F01	Vascular dementia
D015140	Dementia, Vascular	F01.9	Vascular dementia, unspecified
D003715	Dengue	A90	Dengue fever [classical dengue]
D003731	Dental Caries	K02	Dental caries
D003731	Dental Caries	K02.9	Dental caries, unspecified
D003741	Dental Deposits	K03.6	Deposits [accretions] on teeth
D003790	Dental Pulp Necrosis	K04.1	Necrosis of pulp
D003859	Dependent Personality Disorder	F60.7	Dependent personality disorder
D003872	Dermatitis	L30.9	Dermatitis, unspecified
D003873	Dermatitis, Exfoliative	L26	Exfoliative dermatitis
D003874	Dermatitis Herpetiformis	L13.0	Dermatitis herpetiformis
D003876	Dermatitis, Atopic	L20	Atopic dermatitis
D003876	Dermatitis, Atopic	L20.9	Atopic dermatitis, unspecified
D003877	Dermatitis, Contact	L25.9	Unspecified contact dermatitis, unspecified cause
D003877	Dermatitis, Contact	L25	Unspecified contact dermatitis
D003882	Dermatomyositis	M33	Dermatopolymyositis
D003882	Dermatomyositis	M33.9	Dermatopolymyositis, unspecified
D003914	Dextrocardia	Q24.0	Dextrocardia
D003919	Diabetes Insipidus	E23.2	Diabetes insipidus
D003920	Diabetes Mellitus	E10-E14.9	Diabetes mellitus
D003920	Diabetes Mellitus	E14	Unspecified diabetes mellitus
D003922	Diabetes Mellitus, Type 1	E10	Insulin-dependent diabetes mellitus
D003924	Diabetes Mellitus, Type 2	E11	Non-insulin-dependent diabetes mellitus
D003930	Diabetic Retinopathy	H36.0	Diabetic retinopathy
D003963	Diaper Rash	L22	Diaper [napkin] dermatitis
D003966	Camurati-Engelmann Syndrome	Q78.3	Progressive diaphyseal dysplasia
D004011	Dicrocoeliasis	B66.2	Dicrocoeliasis
D004062	DiGeorge Syndrome	D82.1	Di George's syndrome
D004066	Digestive System Diseases	K00-K93.9	Diseases of the digestive system
D004066	Digestive System Diseases	K92.9	Disease of digestive system, unspecified
D004165	Diphtheria	A36	Diphtheria
D004165	Diphtheria	A36.9	Diphtheria, unspecified
D004169	Diphyllobothriasis	B70.0	Diphyllobothriasis
D004172	Diplopia	H53.2	Diplopia
D015299	Discitis	M46.4	Discitis, unspecified
D019189	Iron Metabolism Disorders	E83.1	Disorders of iron metabolism
D004211	Disseminated Intravascular Coagulation	D65	Disseminated intravascular coagulation [defibrination syndrome]
D004310	Double Outlet Right Ventricle	Q20.1	Double outlet right ventricle
D004314	Down Syndrome	Q90	Down's syndrome
D004314	Down Syndrome	Q90.9	Down's syndrome, unspecified
D004320	Dracunculiasis	B72	Dracunculiasis
D004368	Dry Socket	K10.3	Alveolitis of jaws
D004374	Ductus Arteriosus, Patent	Q25.0	Patent ductus arteriosus
D004380	Duodenal Obstruction	K31.5	Obstruction of duodenum
D004381	Duodenal Ulcer	K26	Duodenal ulcer
D004382	Duodenitis	K29.8	Duodenitis
D004387	Dupuytren Contracture	M72.0	Palmar fascial fibromatosis [Dupuytren]
D004402	Dysautonomia, Familial	G90.1	Familial dysautonomia [Riley-Day]
D004408	Dysgeusia	R43.2	Parageusia
D004412	Dysmenorrhea	N94.6	Dysmenorrhoea, unspecified
D004415	Dyspepsia	K30	Dyspepsia
D004417	Dyspnea	R06.0	Dyspnoea
D019263	Dysthymic Disorder	F34.1	Dysthymia
D053159	Dysuria	R30.0	Dysuria
D053159	Dysuria	R30	Pain associated with micturition
D053159	Dysuria	R30.9	Painful micturition, unspecified
D004427	Ear Diseases	H93.9	Disorder of ear, unspecified
D004433	Earache	H92.0	Otalgia
D004437	Ebstein Anomaly	Q22.5	Ebstein's anomaly
D004443	Echinococcosis	B67	Echinococcosis
D004444	Echinococcosis, Hepatic	B67.8	Echinococcosis, unspecified, of liver
D004461	Eclampsia	O15	Eclampsia
D004461	Eclampsia	O15.9	Eclampsia, unspecified as to time period
D004479	Ectopia Lentis	Q12.1	Congenital displaced lens
D004483	Ectropion	H02.1	Ectropion of eyelid
D004487	Edema	R60.9	Oedema, unspecified
D004535	Ehlers-Danlos Syndrome	Q79.6	Ehlers-Danlos syndrome
D004612	Elliptocytosis, Hereditary	D58.1	Hereditary elliptocytosis
D004613	Ellis-Van Creveld Syndrome	Q77.6	Chondroectodermal dysplasia
D004619	Embolism, Amniotic Fluid	O88.1	Amniotic fluid embolism
D016724	Empyema, Pleural	J86	Pyothorax
D004670	Encephalitis, California	A83.5	California encephalitis
D004672	Encephalitis, Japanese	A83.0	Japanese encephalitis
D004674	Encephalitis, St. Louis	A83.3	St Louis encephalitis
D004675	Encephalitis, Tick-Borne	A84	Tick-borne viral encephalitis
D004675	Encephalitis, Tick-Borne	A84.9	Tick-borne viral encephalitis, unspecified
D004677	Encephalocele	Q01	Encephalocele
D004677	Encephalocele	Q01.9	Encephalocele, unspecified
D004685	Encephalomyelitis, Venezuelan Equine	A92.2	Venezuelan equine fever
D004687	Enchondromatosis	Q78.4	Enchondromatosis
D004688	Encopresis	F98.1	Nonorganic encopresis
D004695	Endocardial Fibroelastosis	I42.4	Endocardial fibroelastosis
D004700	Endocrine System Diseases	E34.9	Endocrine disorder, unspecified
D004715	Endometriosis	N80	Endometriosis
D004715	Endometriosis	N80.9	Endometriosis, unspecified
D015841	Enophthalmos	H05.4	Enophthalmos
D004769	Enterovirus Infections	B34.1	Enterovirus infection, unspecified
D004802	Eosinophilia	D72.1	Eosinophilia
D004814	Epidermal Cyst	L72.0	Epidermal cyst
D004820	Epidermolysis Bullosa	Q81	Epidermolysis bullosa
D004820	Epidermolysis Bullosa	Q81.9	Epidermolysis bullosa, unspecified
D004827	Epilepsy	G40	Epilepsy
D004827	Epilepsy	G40.9	Epilepsy, unspecified
D004832	Epilepsy, Absence	G40.7	Petit mal, unspecified, without grand mal seizures
D004842	Epispadias	Q64.0	Epispadias
D004844	Epistaxis	R04.0	Epistaxis
D004886	Erysipelas	A46	Erysipelas
D004892	Erythema Multiforme	L51	Erythema multiforme
D004892	Erythema Multiforme	L51.9	Erythema multiforme, unspecified
D004893	Erythema Nodosum	L52	Erythema nodosum
D004894	Erythrasma	L08.1	Erythrasma
D004899	Erythroblastosis, Fetal	P55	Haemolytic disease of fetus and newborn
D004899	Erythroblastosis, Fetal	P55.9	Haemolytic disease of fetus and newborn, unspecified
D004931	Esophageal Achalasia	K22.0	Achalasia of cardia
D004935	Esophageal Diseases	K22.9	Disease of oesophagus, unspecified
D015154	Esophageal Motility Disorders	K22.4	Dyskinesia of oesophagus
D004939	Esophageal Perforation	K22.3	Perforation of oesophagus
D004941	Esophagitis	K20	Oesophagitis
D004948	Esotropia	H50.0	Convergent concomitant strabismus
D005076	Exanthema	R21	Rash and other nonspecific skin eruption
D005077	Exanthema Subitum	B08.2	Exanthema subitum [sixth disease]
D005084	Exhibitionism	F65.2	Exhibitionism
D005097	Exostoses, Multiple Hereditary	Q78.6	Multiple congenital exostoses
D005099	Exotropia	H50.1	Divergent concomitant strabismus
D000069079	Radiation Exposure	W91	Exposure to unspecified type of radiation as an external cause of morbidity and mortality
D005124	Eye Abnormalities	Q15.9	Congenital malformation of eye, unspecified
D005128	Eye Diseases	H44	Disorders of globe
D005128	Eye Diseases	H44.9	Disorder of globe, unspecified
D005141	Eyelid Diseases	H02.9	Disorder of eyelid, unspecified
D005155	Facial Nerve Diseases	G51	Facial nerve disorders
D005155	Facial Nerve Diseases	G51.9	Disorder of facial nerve, unspecified
D005162	Factitious Disorders	F68.1	Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]
D005173	Factor XI Deficiency	D68.1	Hereditary factor XI deficiency
D005203	Farmer's Lung	J67.0	Farmer's lung
D005207	Fasciculation	R25.3	Fasciculation
D005211	Fascioliasis	B66.3	Fascioliasis
D015673	Fatigue Syndrome, Chronic	G93.3	Postviral fatigue syndrome
D005235	Fatty Liver, Alcoholic	K70.0	Alcoholic fatty liver
D005242	Fecal Incontinence	R15	Faecal incontinence
D005258	Felty Syndrome	M05.0	Felty's syndrome
D005264	Femoral Fractures	S72	Fracture of femur
D005264	Femoral Fractures	S72.9	Fracture of femur, part unspecified
D005265	Femoral Neck Fractures	S72.0	Fracture of neck of femur
D005317	Fetal Growth Retardation	P05.9	Slow fetal growth, unspecified
D005322	Fetal Membranes, Premature Rupture	O42	Premature rupture of membranes
D005322	Fetal Membranes, Premature Rupture	O42.9	Premature rupture of membranes, unspecified
D005329	Fetishism (Psychiatric)	F65.0	Fetishism
D005334	Fever	R50.9	Fever, unspecified
D005335	Fever of Unknown Origin	R50	Fever of unknown origin
D005348	Fibrocystic Breast Disease	N60.1	Diffuse cystic mastopathy
D005352	Fibromuscular Dysplasia	I77.3	Arterial fibromuscular dysplasia
C537929	Fibromuscular dysplasia of arteries	I77.3	Arterial fibromuscular dysplasia
D005358	Fibrous Dysplasia, Monostotic	M85.0	Fibrous dysplasia (monostotic)
D005359	Fibrous Dysplasia, Polyostotic	Q78.1	Polyostotic fibrous dysplasia
D005368	Filariasis	B74	Filariasis
D005368	Filariasis	B74.9	Filariasis, unspecified
D005391	Firesetting Behavior	F63.1	Pathological fire-setting [pyromania]
D005401	Fissure in Ano	K60.2	Anal fissure, unspecified
D005409	Flail Chest	S22.5	Flail chest
D005483	Flushing	R23.2	Flushing
D005532	Foot Deformities, Congenital	Q66	Congenital deformities of feet
D005532	Foot Deformities, Congenital	Q66.9	Congenital deformity of feet, unspecified
D005543	Forearm Injuries	S59.9	Unspecified injury of forearm
D005588	Fox-Fordyce Disease	L75.2	Apocrine miliaria
D000069076	Fractures, Multiple	T02.9	Multiple fractures, unspecified
D005627	Frostbite	T33-T35.9	Frostbite
D005660	Funnel Chest	Q67.6	Pectus excavatum
D005705	Gallbladder Diseases	K82.9	Disease of gallbladder, unspecified
D005738	Gas Gangrene	A48.0	Gas gangrene
D005756	Gastritis	K29.7	Gastritis, unspecified
D005757	Gastritis, Atrophic	K29.4	Chronic atrophic gastritis
D005764	Gastroesophageal Reflux	K21	Gastro-oesophageal reflux disease
D006471	Gastrointestinal Hemorrhage	K92.2	Gastrointestinal haemorrhage, unspecified
D005832	Genital Diseases, Male	N50.9	Disorder of male genital organs, unspecified
D005832	Genital Diseases, Male	N40-N51.9	Diseases of male genital organs
D005847	Geotrichosis	B48.3	Geotrichosis
